Deleted,Campaign ID,Campaign Type,Advertiser ID,Created At,Updated At,Disabled,Account ID,Filter Type
,135421,NATIVE,16811,2021-08-25T16:51:32.965944+04:30,2021-08-25T17:32:23.187049+04:30,false,KDDMYIfh,KEYWORD
,135415,NATIVE,40477,2021-08-25T16:34:39.345076+04:30,2021-08-25T16:34:39.345096+04:30,false,TFl7K2m5,KEYWORD
,135413,BANNER,42866,2021-08-25T16:34:06.771384+04:30,2021-08-25T16:34:06.7714+04:30,false,svXK4Pdd,KEYWORD
,135410,NATIVE,21425,2021-08-25T16:29:32.282503+04:30,2021-08-25T16:58:16.553164+04:30,false,iDX9LjU0,KEYWORD
,135408,NATIVE,21425,2021-08-25T16:28:38.747534+04:30,2021-08-25T16:58:27.48905+04:30,false,iDX9LjU0,KEYWORD
,135403,NATIVE,41959,2021-08-25T16:17:48.652164+04:30,2021-08-25T16:17:48.652183+04:30,false,ZNHJx9KJ,KEYWORD
,135392,NATIVE,17183,2021-08-25T16:02:03.046129+04:30,2021-08-26T09:56:16.860699+04:30,false,rfDCiHOe,KEYWORD
,135390,BANNER,28435,2021-08-25T15:56:18.943542+04:30,2021-08-29T20:02:23.612544+04:30,false,MbaNfMS9,KEYWORD
,135389,BANNER,28435,2021-08-25T15:53:49.315115+04:30,2021-08-29T20:02:30.20776+04:30,false,MbaNfMS9,KEYWORD
,135383,BANNER,41034,2021-08-25T15:42:01.037671+04:30,2021-08-25T15:42:01.037691+04:30,false,8qBkyK2J,KEYWORD
,135374,BANNER,41992,2021-08-25T15:14:06.186205+04:30,2021-08-25T15:14:06.186226+04:30,false,tRIUQfgN,KEYWORD
,135371,BANNER,5229,2021-08-25T15:05:17.870148+04:30,2021-08-25T15:05:17.870182+04:30,false,NTVZXxbS,KEYWORD
,135370,NATIVE,39235,2021-08-25T15:03:11.296948+04:30,2021-08-25T15:05:50.684845+04:30,false,aSqssW45,KEYWORD
,135368,NATIVE,3496,2021-08-25T14:38:59.112888+04:30,2021-08-25T14:41:54.572685+04:30,false,3bTbYL6v,KEYWORD
,135366,NATIVE,27924,2021-08-25T14:28:35.421182+04:30,2021-08-27T17:27:35.025196+04:30,false,eFNvyrkJ,KEYWORD
,135345,NATIVE,19751,2021-08-25T13:54:10.050923+04:30,2021-08-26T16:15:40.977938+04:30,false,XzcjhPnE,KEYWORD
,135340,BANNER,30427,2021-08-25T13:34:39.71373+04:30,2021-08-25T13:34:39.713757+04:30,false,dIX8DB01,KEYWORD
,135338,NATIVE,42259,2021-08-25T13:21:45.613095+04:30,2021-08-25T13:31:14.263424+04:30,false,2g8l8Mnv,KEYWORD
,135337,NATIVE,42259,2021-08-25T13:17:47.131636+04:30,2021-08-25T13:29:56.681869+04:30,false,2g8l8Mnv,KEYWORD
,135335,NATIVE,120,2021-08-25T13:14:59.824074+04:30,2021-08-25T13:14:59.824091+04:30,false,OpxNQrvA,KEYWORD
,135323,NATIVE,4936,2021-08-25T12:50:20.702509+04:30,2021-08-26T15:29:16.58531+04:30,false,L96PH2Eg,KEYWORD
,135321,BANNER,42748,2021-08-25T12:49:43.124363+04:30,2021-08-25T12:49:43.124383+04:30,false,bnpCKGQv,KEYWORD
,135317,BANNER,42245,2021-08-25T12:44:41.505609+04:30,2021-08-25T12:45:41.346941+04:30,false,m1mxI8D0,KEYWORD
,135315,BANNER,42245,2021-08-25T12:43:07.153689+04:30,2021-08-25T12:43:07.153711+04:30,false,m1mxI8D0,KEYWORD
,135311,NATIVE,5203,2021-08-25T12:41:23.338458+04:30,2021-08-25T12:41:23.338482+04:30,false,xSKB5Y6a,KEYWORD
,135305,NATIVE,29263,2021-08-25T12:32:57.034106+04:30,2021-08-25T12:33:38.314865+04:30,false,b0EKJZQ2,KEYWORD
,135302,NATIVE,37775,2021-08-25T12:26:04.646791+04:30,2021-08-25T12:26:04.646812+04:30,false,0Gfnf2nu,KEYWORD
,135296,NATIVE,4936,2021-08-25T12:22:34.010814+04:30,2021-08-25T12:22:34.010841+04:30,false,L96PH2Eg,KEYWORD
,135288,NATIVE,18949,2021-08-25T12:11:01.091011+04:30,2021-08-25T12:11:01.091028+04:30,false,IGNXcJd6,KEYWORD
,135285,NATIVE,19960,2021-08-25T12:07:16.85209+04:30,2021-08-25T12:07:16.852115+04:30,false,CyzkoJZr,KEYWORD
,135281,NATIVE,19960,2021-08-25T12:02:37.568487+04:30,2021-08-25T12:02:37.568503+04:30,false,CyzkoJZr,KEYWORD
,135276,BANNER,19960,2021-08-25T11:57:25.146874+04:30,2021-08-25T11:57:25.146891+04:30,false,CyzkoJZr,KEYWORD
,135275,NATIVE,4936,2021-08-25T11:55:21.500256+04:30,2021-08-25T11:55:21.500279+04:30,false,L96PH2Eg,KEYWORD
,135274,NATIVE,12032,2021-08-25T11:48:04.933128+04:30,2021-08-25T20:31:17.23305+04:30,false,lnXqSAiq,KEYWORD
,135273,BANNER,19960,2021-08-25T11:45:02.714038+04:30,2021-08-25T11:58:17.910469+04:30,false,CyzkoJZr,KEYWORD
,135272,NATIVE,3319,2021-08-25T11:35:20.793042+04:30,2021-08-25T12:29:58.699612+04:30,false,WNCj8OFP,KEYWORD
,135268,NATIVE,5217,2021-08-25T11:26:39.630105+04:30,2021-08-25T11:26:39.630136+04:30,false,YgCA2uL4,KEYWORD
,135266,NATIVE,36471,2021-08-25T11:24:46.991+04:30,2021-08-25T11:24:46.991025+04:30,false,wsA7Xg9v,KEYWORD
,135262,BANNER,42829,2021-08-25T11:19:19.834676+04:30,2021-08-30T11:44:37.041956+04:30,false,yRoCjBns,KEYWORD
